Name	Spectrum	Select	MDV	Std
Glue	0	1	0.3402162119298265	0.01
Glue	1	1	0.27763963654744467	0.01
Glue	2	1	0.2701282780168595	0.01
Glue	3	1	0.07721090796363653	0.01
Glue	4	1	0.02610966995842948	0.01
Glue	5	0	0.008695295583803385	0.01
AKGe	0	1	0.3417030252637525	0.01
AKGe	1	1	0.2680749516176169	0.01
AKGe	2	1	0.26679811108429413	0.01
AKGe	3	1	0.08920232421259418	0.01
AKGe	4	1	0.02992410855050251	0.01
AKGe	5	0	0.00429747927123955	0.01
OACo	0	1	0.945757649069456	0.01
OACo	1	1	0.028814097639938363	0.01
OACo	2	1	0.021795455007247607	0.01
OACo	3	0	0.0	0.01
OACo	4	0	0.003632798283357931	0.01
OACi	0	1	0.6594116732183061	0.01
OACi	1	1	0.17384657248045754	0.01
OACi	2	1	0.1232799973773104	0.01
OACi	3	1	0.03926034022347965	0.01
OACi	4	0	0.0042014167004463965	0.01
OACt	0	1	0.615795952729745	0.01
OACt	1	1	0.21615780199609513	0.01
OACt	2	1	0.14148240363910625	0.01
OACt	3	1	0.015874681054084447	0.01
OACt	4	1	0.010689160580969298	0.01
OACc	0	1	0.6239567817039812	0.01
OACc	1	1	0.2206635887662203	0.01
OACc	2	1	0.1315404671327778	0.01
OACc	3	1	0.021508555601345816	0.01
OACc	4	0	0.002330606795674907	0.01
Txt	0	1	0.5351410754001417	0.01
Txt	1	1	0.3235266690078562	0.01
Txt	2	1	0.10834772297098517	0.01
Txt	3	1	0.024754708685840343	0.01
Txt	4	0	0.008229823935176734	0.01
Txc	0	1	0.5378951189714137	0.01
Txc	1	1	0.3142724265471774	0.01
Txc	2	1	0.11061857610780167	0.01
Txc	3	1	0.024480319556764153	0.01
Txc	4	1	0.01273355881684319	0.01
